jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
California,Tribal Gaming Commission,Coyote Valley Band of Pomo Indians — Tribal Gaming Commission,Tribal Class II & III,"7601 North State Street, Redwood Valley CA 95470",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,cvchair@coyotevalley-nsn.gov,cvchair@coyotevalley-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Dry Creek Rancheria Band of Pomo Indians — Tribal Gaming Commission,Tribal Class II & III,"1450 Airport Blvd. Ste. 200A, Santa Rosa CA 95403",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chrisw@drycreekrancheria.com,chrisw@drycreekrancheria.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Elk Valley Rancheria — Tribal Gaming Commission,Tribal Class II & III,"2332 Howland Hill Road, Crescent City CA 95531",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,dmiller@elk-valley.com,dmiller@elk-valley.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Enterprise Rancheria of the Maidu Indians of — Tribal Gaming Commission,Tribal Class II & III,"3311 Forty Mile Road, Wheatland CA 95692",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jcn@ergc.us,jcn@ergc.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Federated Indians of Graton Rancheria — Tribal Gaming Commission,Tribal Class II & III,"6400 Redwood Dr. Suite 300, Rohnert Park CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,ahardin@gratonrancheria.com,ahardin@gratonrancheria.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,"Fort Independence Indian Community of P.O.Box 67, Independence CA 93526 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,carl@fortindependence.com,carl@fortindependence.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Habematolel Pomo of Upper Lake — Tribal Gaming Commission,Tribal Class II & III,"375 East Highway 20, Suite 1 P.O. Box 516, Upper",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,dcirelli@hpultribe-nsn.gov,dcirelli@hpultribe-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Hoopa Valley Tribe — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1348 NF Building Highway 96, Hoopa CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,hvtcenterprise@gmail.com,hvtcenterprise@gmail.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Jackson Band of Miwuk Indians — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1090 12222 New York Ranch Road,",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,adalton@jacksoncasino.com,adalton@jacksoncasino.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Jamul Indian Village of California — Tribal Gaming Commission,Tribal Class II,"P.O. Box 612 14191 Hwy 94, Jamul CA 91935",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,epinto@jiv-nsn.gov,epinto@jiv-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Karuk Tribe — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1016 64236 2nd Ave., Happy Camp CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Battebery@karuk.us,Battebery@karuk.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Lytton Rancheria of California — Tribal Gaming Commission,Tribal Class II,"437 Aviation Blvd., Santa Rosa CA 95403",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,andy.mejia@lyttonrancheriaofcalifornia.com,andy.mejia@lyttonrancheriaofcalifornia.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Manchester Band of Pomo Indians of the — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 623 24 Mamie Laiwa Dr., Point Arena CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tisha.jones@mpapomotribe.org,tisha.jones@mpapomotribe.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Mechoopda Indian Tribe of Chico Rancheria — Tribal Gaming Commission,Tribal Class II & III,"125 Mission Ranch Blvd., Chico CA 95926",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,mit@mechoopda.nsn.us,mit@mechoopda.nsn.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Middletown Rancheria of Pomo Indians of — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1035 22223 Hwy 29 @ Rancheria Rd,",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jsimon@middletownrancheria.com,jsimon@middletownrancheria.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Mooretown Rancheria of Maidu Indians of # — Tribal Gaming Commission,Tribal Class II & III,"1 Alverda Drive, Oroville CA 95966",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,benjamin.clark@mooretown.org,benjamin.clark@mooretown.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,"Morongo Band of Mission Indians, California — Tribal Gaming Commission",Tribal Class II & III,"12700 Pumarra Road, Banning CA 92220",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,lbroderick@morongo-nsn.gov,lbroderick@morongo-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Paskenta Band of Nomlaki Indians — Tribal Gaming Commission,Tribal Class II & III,"2655 Everett Freeman Way PO Box 709, Corning CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,bpaya@paskenta.org,bpaya@paskenta.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Pauma Band of Luiseno Mission Indians of the — Tribal Gaming Commission,Tribal Class II & III,"1010 Pauma Reservation Road P.O. Box 369,",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tmajel@pauma-nsn.gov,tmajel@pauma-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Pechanga Band of Luiseno Mission Indians of — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1477 12705 Pechanga Rd., Temecula CA",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,epreston@pechanga-nsn.gov,epreston@pechanga-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Picayune Rancheria of Chukchansi Indians — Tribal Gaming Commission,Tribal Class II & III,"49260 Chapel Hill, Oakhurst CA 93644",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,thopkins@chukchansi-nsn.gov,thopkins@chukchansi-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Pit River Tribe — Tribal Gaming Commission,Tribal Class II & III,"36970 Park Ave, Burney CA 96013",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chairman@pitrivertribe.gov,chairman@pitrivertribe.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Quechan Indian Tribe/CA — Tribal Gaming Commission,Tribal Class III 502.3 &,"350 Picacho Rd. PO Box 1899 Yuma AZ 85366,",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,executivesecretary@quechantribe.com,executivesecretary@quechantribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Quechan Tribe of the Fort Yuma Indian — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 1899, Yuma AZ 85366",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,executivesecretary@quechantribe.com,executivesecretary@quechantribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
California,Tribal Gaming Commission,Redding Rancheria — Tribal Gaming Commission,Tribal Class II & III,"2000 Redding Rancheria Road, Redding CA 96001",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,melodieh@redding-rancheria.com,melodieh@redding-rancheria.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
